id,llm_error,varierr_error
144408n,"[""n""]",[]
104412e,"[""c"", ""n""]","[""contradiction""]"
129601e,"[""c"", ""n""]",[]
62238e,"[""c"", ""n""]","[""entailment""]"
51353e,"[""c"", ""n""]",[]
108027n,"[""n""]",[]
95883e,"[""n""]",[]
26495e,"[""c"", ""n""]",[]
67836n,"[""e"", ""n"", ""c""]",[]
21340n,"[""e"", ""n"", ""c""]","[""contradiction""]"
114971e,"[""e"", ""n"", ""c""]",[]
103354n,"[""c"", ""n""]","[""contradiction""]"
11971n,"[""c"", ""n""]",[]
83722e,"[""e"", ""n"", ""c""]",[]
38527n,"[""e"", ""n"", ""c""]",[]
59934n,"[""c"", ""n""]","[""entailment""]"
10916n,"[""e"", ""n"", ""c""]",[]
34043c,"[""e"", ""n""]","[""contradiction""]"
117089n,"[""c"", ""n""]",[]
121910c,"[""e"", ""n"", ""c""]",[]
113668n,"[""c"", ""n""]","[""contradiction"", ""entailment""]"
128176e,"[""n""]","[""entailment""]"
122322e,"[""c"", ""n""]",[]
53619c,[],"[""entailment""]"
27287c,[],[]
125700e,"[""e"", ""n"", ""c""]",[]
96946n,[],[]
17660e,"[""c"", ""n""]",[]
107252c,"[""c"", ""n""]",[]
113967e,"[""e"", ""n"", ""c""]",[]
129464c,"[""c"", ""n""]",[]
82528c,"[""e"", ""n"", ""c""]","[""entailment""]"
134356n,"[""c"", ""n""]",[]
102075c,"[""e"", ""n"", ""c""]",[]
96956c,"[""c"", ""n""]",[]
24163e,"[""c"", ""n""]",[]
31775c,"[""n""]",[]
8487n,"[""c"", ""n""]","[""neutral""]"
46576e,"[""c"", ""n""]",[]
83247e,"[""c"", ""n""]",[]
80109n,"[""c"", ""n""]","[""neutral""]"
52854n,"[""c"", ""n""]",[]
133274n,"[""c"", ""n""]",[]
120070n,"[""c"", ""n""]",[]
129185n,"[""c"", ""n""]",[]
49172n,"[""c"", ""n""]",[]
140782c,"[""c"", ""n""]",[]
45443c,"[""e"", ""n"", ""c""]",[]
22938e,"[""c"", ""n""]",[]
67571c,"[""c"", ""n""]",[]
5087e,"[""e"", ""n"", ""c""]",[]
23769n,"[""c"", ""n""]",[]
13760n,"[""e"", ""n"", ""c""]",[]
2133n,[],[]
117093n,"[""c"", ""n""]",[]
112402c,"[""e"", ""n""]",[]
32754n,"[""e"", ""n"", ""c""]","[""contradiction""]"
120896n,"[""e"", ""n"", ""c""]","[""neutral""]"
25437n,"[""c"", ""n""]",[]
56895c,"[""n""]",[]
43094c,"[""c"", ""n""]",[]
21834e,"[""c"", ""n""]","[""neutral""]"
139836n,"[""e"", ""n"", ""c""]","[""neutral""]"
57454e,"[""c"", ""n""]",[]
34573n,"[""c"", ""n""]","[""contradiction""]"
52278e,"[""c"", ""n""]",[]
11618c,[],[]
118460n,"[""c"", ""n""]","[""contradiction"", ""entailment""]"
54383c,"[""c"", ""n""]",[]
123751n,"[""c"", ""n""]",[]
43891n,[],[]
113039e,"[""c"", ""n""]",[]
83900e,"[""c"", ""n""]",[]
10119e,"[""c"", ""n""]","[""entailment""]"
21810n,"[""e"", ""n"", ""c""]",[]
35700c,"[""c"", ""n""]",[]
109278n,"[""c"", ""n""]","[""neutral""]"
138530e,"[""n""]","[""contradiction""]"
13387e,"[""e"", ""n"", ""c""]",[]
58557e,"[""c"", ""n""]",[]
36811c,"[""e"", ""n"", ""c""]",[]
73840n,"[""c"", ""n""]",[]
31249e,"[""c"", ""n""]",[]
91913n,"[""e"", ""n""]","[""contradiction""]"
100895c,"[""e"", ""n"", ""c""]",[]
837n,"[""c"", ""n""]",[]
140005c,[],[]
38475c,"[""e"", ""n""]",[]
141293e,"[""e"", ""n"", ""c""]",[]
30139n,"[""c"", ""n""]",[]
30380c,"[""n""]","[""entailment""]"
22436n,"[""c"", ""n""]",[]
76037n,"[""c"", ""n""]","[""contradiction""]"
28456n,[],[]
46198c,"[""c"", ""n""]",[]
100136e,"[""c"", ""n""]",[]
24103n,"[""e"", ""n"", ""c""]",[]
142729c,"[""c"", ""n""]",[]
96516e,"[""c"", ""n""]",[]
52761e,"[""c"", ""n""]",[]
21297n,[],[]
98487c,"[""e"", ""n""]",[]
17179n,"[""c"", ""n""]",[]
132539e,"[""c"", ""n""]",[]
23642n,"[""e"", ""n""]",[]
84781e,"[""c"", ""n""]",[]
15771c,"[""c"", ""n""]",[]
134655c,[],[]
33822n,"[""e"", ""n""]",[]
125021c,[],[]
133005n,"[""e"", ""n"", ""c""]",[]
65650e,"[""e"", ""n"", ""c""]",[]
3545n,[],[]
105196n,"[""c"", ""n""]",[]
144753e,"[""c"", ""n""]",[]
114458e,"[""c"", ""n""]","[""neutral""]"
49237c,"[""e"", ""n"", ""c""]",[]
70047c,"[""c"", ""n""]",[]
137319n,"[""c"", ""n""]",[]
63013n,"[""c"", ""n""]",[]
79507e,"[""c"", ""n""]",[]
121910e,"[""c""]","[""contradiction""]"
120323n,"[""c"", ""n""]",[]
50480n,"[""c"", ""n""]","[""entailment""]"
123027n,"[""c"", ""n""]",[]
85279n,"[""e"", ""n"", ""c""]",[]
121360c,"[""n""]","[""contradiction""]"
56582n,"[""e"", ""n"", ""c""]",[]
46650n,"[""e"", ""n""]",[]
81579e,"[""n""]","[""contradiction""]"
23414c,"[""c"", ""n""]",[]
36715e,"[""c"", ""n""]",[]
114492n,"[""c"", ""n""]",[]
136097n,"[""c"", ""n""]",[]
101253c,"[""e"", ""n"", ""c""]",[]
97520e,"[""c"", ""n""]",[]
97569e,"[""e"", ""n"", ""c""]",[]
23751c,"[""c"", ""n""]",[]
103169n,"[""n""]","[""contradiction"", ""neutral""]"
134217e,"[""c"", ""n""]","[""entailment"", ""neutral""]"
11601n,"[""e""]",[]
46059c,"[""e""]","[""entailment""]"
82156e,"[""c"", ""n""]",[]
30894n,"[""c"", ""n""]",[]
122645n,"[""e"", ""n"", ""c""]","[""contradiction""]"
26142n,"[""c"", ""n""]",[]
66225n,"[""c"", ""n""]",[]
134103n,"[""c"", ""n""]",[]
117177n,"[""c"", ""n""]",[]
78105e,"[""c"", ""n""]",[]
23280e,"[""c"", ""n""]",[]
9393n,"[""e"", ""n"", ""c""]","[""contradiction""]"
82510c,"[""c"", ""n""]","[""neutral""]"
14459n,"[""c"", ""n""]",[]
70711c,"[""c"", ""n""]",[]
77893n,"[""c"", ""n""]","[""contradiction""]"
20181n,"[""c"", ""n""]",[]
137715n,"[""c"", ""n""]",[]
109679n,"[""c"", ""n""]","[""neutral""]"
123891c,"[""n""]",[]
16086n,"[""n""]",[]
91650n,"[""c"", ""n""]",[]
85428e,"[""n""]",[]
118403n,"[""e"", ""n"", ""c""]",[]
105561e,"[""c"", ""n""]","[""entailment""]"
11303n,"[""c"", ""n""]",[]
11534n,"[""c"", ""n""]",[]
46198n,"[""e"", ""n"", ""c""]",[]
125013e,"[""c"", ""n""]",[]
44747n,"[""n""]",[]
19768c,"[""e"", ""n""]",[]
53468n,"[""e"", ""n"", ""c""]","[""contradiction""]"
136752n,"[""c"", ""n""]","[""entailment""]"
10724n,"[""e"", ""n""]",[]
17753n,"[""c"", ""n""]",[]
130928n,"[""c"", ""n""]",[]
66858n,"[""c"", ""n""]",[]
28601n,"[""c"", ""n""]",[]
92774n,"[""n""]",[]
142604e,"[""c"", ""n""]","[""contradiction""]"
42860n,"[""c"", ""n""]",[]
77299n,"[""c"", ""n""]",[]
13765c,"[""e"", ""n"", ""c""]","[""contradiction"", ""entailment""]"
139362e,"[""c"", ""n""]","[""entailment""]"
116176c,[],"[""contradiction""]"
110234e,"[""c"", ""n""]","[""contradiction""]"
84781c,"[""e"", ""n""]","[""contradiction""]"
41052n,"[""c"", ""n""]",[]
128160n,"[""c"", ""n""]",[]
123038e,"[""c"", ""n""]",[]
98621n,"[""e"", ""n"", ""c""]",[]
97926c,"[""e"", ""n"", ""c""]",[]
98561e,"[""n""]",[]
86429n,"[""e"", ""n"", ""c""]",[]
105911c,"[""c""]",[]
126486n,"[""c"", ""n""]",[]
127809n,"[""c"", ""n""]",[]
28306c,"[""e"", ""n"", ""c""]","[""entailment""]"
