id,llm_error,varierr_error
87332c,"[""e"", ""c""]","[""entailment""]"
53499c,"[""e"", ""n""]","[""entailment""]"
65199n,"[""n"", ""c""]",[]
88050c,"[""e""]",[]
34094e,"[""n"", ""c""]",[]
72875e,"[""n"", ""c""]",[]
19921n,"[""n"", ""c""]",[]
23583e,"[""e"", ""n""]",[]
91106n,"[""e"", ""n"", ""c""]",[]
9557e,"[""n"", ""c""]","[""entailment""]"
15537n,"[""n"", ""c""]","[""entailment""]"
3476n,"[""e"", ""n"", ""c""]",[]
56124n,"[""e"", ""n""]","[""entailment""]"
5193n,"[""n"", ""c""]",[]
106390n,"[""e"", ""n"", ""c""]",[]
54327n,"[""n""]",[]
2870n,"[""n"", ""c""]",[]
63218n,"[""e"", ""c""]",[]
144753c,"[""n"", ""c""]",[]
73191n,"[""n"", ""c""]","[""contradiction""]"
62273n,"[""n""]",[]
58016c,"[""e"", ""n""]",[]
45605n,"[""e""]",[]
82174e,"[""n"", ""c""]",[]
123703e,"[""n"", ""c""]",[]
127410n,"[""e"", ""n""]",[]
55572n,"[""e"", ""n""]",[]
45774c,"[""e"", ""c""]","[""contradiction""]"
130869n,"[""e"", ""n""]",[]
93955n,"[""n"", ""c""]","[""entailment""]"
72870c,"[""e""]","[""contradiction"", ""entailment""]"
77025c,"[""e""]",[]
69975n,"[""n"", ""c""]",[]
125238c,"[""e"", ""n""]",[]
27022c,"[""n"", ""c""]",[]
66689c,"[""e"", ""n""]","[""neutral""]"
112547n,"[""e"", ""n""]","[""entailment""]"
129081n,"[""n"", ""c""]",[]
45306n,"[""n"", ""c""]",[]
76957c,"[""e"", ""n""]",[]
2262n,"[""n"", ""c""]","[""entailment""]"
40710n,"[""e"", ""n"", ""c""]",[]
21957n,"[""e"", ""n"", ""c""]",[]
14126e,"[""e"", ""c""]",[]
79013n,"[""n""]","[""entailment"", ""neutral""]"
38156n,"[""e"", ""n"", ""c""]",[]
25304n,"[""e"", ""n""]","[""neutral""]"
111338e,"[""e"", ""n"", ""c""]",[]
75259c,"[""n"", ""c""]","[""contradiction""]"
53211n,"[""n"", ""c""]","[""entailment""]"
123267e,"[""n"", ""c""]",[]
80808n,"[""e"", ""n"", ""c""]","[""neutral""]"
72740c,"[""e"", ""n""]",[]
71251n,"[""n"", ""c""]",[]
117680c,[],[]
80930n,"[""n"", ""c""]",[]
98844n,"[""e"", ""n"", ""c""]",[]
127073c,"[""e"", ""n""]","[""contradiction""]"
61216c,"[""e""]",[]
102857n,"[""e"", ""n"", ""c""]","[""contradiction""]"
133243e,"[""n"", ""c""]",[]
144408n,"[""e""]",[]
104412e,"[""n"", ""c""]","[""contradiction""]"
129601e,"[""n"", ""c""]",[]
62238e,"[""n"", ""c""]","[""entailment""]"
51353e,"[""n"", ""c""]",[]
108027n,"[""e"", ""n""]",[]
95883e,"[""e"", ""n""]",[]
26495e,"[""e"", ""n""]",[]
67836n,"[""e""]",[]
21340n,"[""n"", ""c""]","[""contradiction""]"
114971e,"[""n""]",[]
103354n,"[""n"", ""c""]","[""contradiction""]"
11971n,"[""n"", ""c""]",[]
83722e,"[""n"", ""c""]",[]
38527n,"[""e"", ""n"", ""c""]",[]
59934n,"[""e"", ""n"", ""c""]","[""entailment""]"
10916n,"[""n"", ""c""]",[]
34043c,"[""e"", ""n"", ""c""]","[""contradiction""]"
117089n,"[""n"", ""c""]",[]
121910c,"[""e"", ""n""]",[]
113668n,"[""n"", ""c""]","[""contradiction"", ""entailment""]"
128176e,"[""e"", ""n"", ""c""]","[""entailment""]"
122322e,"[""e"", ""n"", ""c""]",[]
53619c,"[""e"", ""n""]","[""entailment""]"
27287c,"[""e"", ""n"", ""c""]",[]
125700e,"[""e"", ""n""]",[]
96946n,"[""n"", ""c""]",[]
17660e,"[""n"", ""c""]",[]
107252c,"[""e"", ""n""]",[]
113967e,"[""e"", ""c""]",[]
129464c,"[""n"", ""c""]",[]
82528c,"[""e"", ""n""]","[""entailment""]"
134356n,"[""e"", ""n"", ""c""]",[]
102075c,"[""e"", ""n""]",[]
96956c,"[""e"", ""n"", ""c""]",[]
24163e,"[""e"", ""n"", ""c""]",[]
31775c,"[""e""]",[]
8487n,"[""n"", ""c""]","[""neutral""]"
46576e,"[""n"", ""c""]",[]
83247e,"[""e"", ""n"", ""c""]",[]
80109n,"[""e"", ""n"", ""c""]","[""neutral""]"
52854n,"[""e"", ""n"", ""c""]",[]
133274n,"[""e"", ""n""]",[]
120070n,"[""n"", ""c""]",[]
129185n,"[""e"", ""n"", ""c""]",[]
49172n,"[""n"", ""c""]",[]
140782c,"[""e""]",[]
45443c,"[""e"", ""n""]",[]
22938e,"[""n"", ""c""]",[]
67571c,"[""e"", ""n"", ""c""]",[]
5087e,"[""e"", ""n"", ""c""]",[]
23769n,"[""n"", ""c""]",[]
13760n,"[""n"", ""c""]",[]
2133n,"[""e""]",[]
117093n,"[""e"", ""n"", ""c""]",[]
112402c,"[""c""]",[]
32754n,"[""n"", ""c""]","[""contradiction""]"
120896n,"[""n"", ""c""]","[""neutral""]"
25437n,"[""n"", ""c""]",[]
56895c,"[""e""]",[]
43094c,"[""e"", ""c""]",[]
21834e,"[""e"", ""n"", ""c""]","[""neutral""]"
139836n,"[""n"", ""c""]","[""neutral""]"
57454e,"[""e"", ""n"", ""c""]",[]
34573n,"[""n""]","[""contradiction""]"
52278e,"[""e"", ""n"", ""c""]",[]
11618c,"[""e"", ""n""]",[]
118460n,"[""n"", ""c""]","[""contradiction"", ""entailment""]"
54383c,"[""e"", ""n"", ""c""]",[]
123751n,"[""e"", ""n""]",[]
43891n,"[""c""]",[]
113039e,"[""n"", ""c""]",[]
83900e,"[""e"", ""n"", ""c""]",[]
10119e,"[""n"", ""c""]","[""entailment""]"
21810n,"[""n"", ""c""]",[]
35700c,"[""n""]",[]
109278n,"[""e""]","[""neutral""]"
138530e,"[""e"", ""n""]","[""contradiction""]"
13387e,"[""n"", ""c""]",[]
58557e,"[""n"", ""c""]",[]
36811c,"[""e""]",[]
73840n,"[""n"", ""c""]",[]
31249e,"[""e"", ""n"", ""c""]",[]
91913n,"[""e"", ""c""]","[""contradiction""]"
100895c,"[""c""]",[]
837n,"[""n"", ""c""]",[]
140005c,"[""e""]",[]
38475c,"[""e"", ""n"", ""c""]",[]
141293e,"[""n"", ""c""]",[]
30139n,"[""n"", ""c""]",[]
30380c,"[""e""]","[""entailment""]"
22436n,"[""e"", ""n"", ""c""]",[]
76037n,"[""e"", ""c""]","[""contradiction""]"
28456n,"[""n""]",[]
46198c,"[""e"", ""n""]",[]
100136e,"[""e"", ""n"", ""c""]",[]
24103n,"[""e"", ""n""]",[]
142729c,"[""e"", ""n""]",[]
96516e,"[""n"", ""c""]",[]
52761e,"[""e"", ""n"", ""c""]",[]
21297n,"[""e"", ""n"", ""c""]",[]
98487c,"[""c""]",[]
17179n,"[""n"", ""c""]",[]
132539e,"[""n"", ""c""]",[]
23642n,"[""e"", ""c""]",[]
84781e,"[""e"", ""n""]",[]
15771c,"[""e"", ""c""]",[]
134655c,"[""n""]",[]
33822n,"[""n"", ""c""]",[]
125021c,"[""n"", ""c""]",[]
133005n,"[""e""]",[]
65650e,"[""e"", ""c""]",[]
3545n,"[""e""]",[]
105196n,"[""e"", ""c""]",[]
144753e,"[""n"", ""c""]",[]
114458e,"[""n"", ""c""]","[""neutral""]"
49237c,"[""e""]",[]
70047c,"[""e"", ""n"", ""c""]",[]
137319n,"[""n"", ""c""]",[]
63013n,"[""n"", ""c""]",[]
79507e,"[""n"", ""c""]",[]
121910e,"[""e"", ""n""]","[""contradiction""]"
120323n,"[""e"", ""n"", ""c""]",[]
50480n,"[""n"", ""c""]","[""entailment""]"
123027n,"[""n"", ""c""]",[]
85279n,"[""e"", ""n"", ""c""]",[]
121360c,"[""e"", ""n""]","[""contradiction""]"
56582n,"[""n"", ""c""]",[]
46650n,"[""e"", ""n""]",[]
81579e,"[""n"", ""c""]","[""contradiction""]"
23414c,"[""e"", ""n""]",[]
36715e,"[""e"", ""n""]",[]
114492n,"[""e"", ""n"", ""c""]",[]
136097n,"[""n"", ""c""]",[]
101253c,"[""e""]",[]
97520e,"[""n"", ""c""]",[]
97569e,"[""n"", ""c""]",[]
23751c,"[""e"", ""c""]",[]
103169n,"[""e"", ""c""]","[""contradiction"", ""neutral""]"
134217e,"[""e"", ""n"", ""c""]","[""entailment"", ""neutral""]"
11601n,"[""e"", ""n"", ""c""]",[]
46059c,"[""e""]","[""entailment""]"
82156e,"[""n"", ""c""]",[]
30894n,"[""e"", ""n"", ""c""]",[]
122645n,"[""e""]","[""contradiction""]"
26142n,"[""n"", ""c""]",[]
66225n,"[""e"", ""n""]",[]
134103n,"[""e"", ""n"", ""c""]",[]
117177n,"[""n"", ""c""]",[]
78105e,"[""n"", ""c""]",[]
23280e,"[""n"", ""c""]",[]
9393n,"[""e"", ""n"", ""c""]","[""contradiction""]"
82510c,"[""e"", ""n"", ""c""]","[""neutral""]"
14459n,"[""e"", ""n"", ""c""]",[]
70711c,"[""e"", ""n""]",[]
77893n,"[""n"", ""c""]","[""contradiction""]"
20181n,"[""e"", ""n"", ""c""]",[]
137715n,"[""n"", ""c""]",[]
109679n,"[""n"", ""c""]","[""neutral""]"
123891c,"[""n""]",[]
16086n,"[""e""]",[]
91650n,"[""n"", ""c""]",[]
85428e,"[""n"", ""c""]",[]
118403n,"[""e"", ""c""]",[]
105561e,"[""n""]","[""entailment""]"
11303n,"[""n"", ""c""]",[]
11534n,"[""n"", ""c""]",[]
46198n,"[""e"", ""n"", ""c""]",[]
125013e,"[""n"", ""c""]",[]
44747n,"[""e"", ""n""]",[]
19768c,"[""e"", ""n""]",[]
53468n,"[""n"", ""c""]","[""contradiction""]"
136752n,"[""e"", ""n"", ""c""]","[""entailment""]"
10724n,[],[]
17753n,"[""n"", ""c""]",[]
130928n,"[""n"", ""c""]",[]
66858n,"[""n"", ""c""]",[]
28601n,"[""n"", ""c""]",[]
92774n,"[""e"", ""c""]",[]
142604e,"[""e"", ""n"", ""c""]","[""contradiction""]"
42860n,"[""n"", ""c""]",[]
77299n,"[""n"", ""c""]",[]
13765c,"[""e""]","[""contradiction"", ""entailment""]"
139362e,"[""n"", ""c""]","[""entailment""]"
116176c,"[""e""]","[""contradiction""]"
110234e,"[""n"", ""c""]","[""contradiction""]"
84781c,"[""e"", ""n"", ""c""]","[""contradiction""]"
41052n,"[""n"", ""c""]",[]
128160n,"[""n"", ""c""]",[]
123038e,"[""e"", ""n"", ""c""]",[]
98621n,"[""e"", ""n""]",[]
97926c,"[""n""]",[]
98561e,"[""n"", ""c""]",[]
86429n,"[""e"", ""c""]",[]
105911c,"[""n"", ""c""]",[]
126486n,"[""n"", ""c""]",[]
127809n,"[""n"", ""c""]",[]
28306c,"[""e""]","[""entailment""]"
