id,llm_error,varierr_error
51353c,"[""n"", ""e"", ""c""]",[]
10547c,"[""n"", ""e"", ""c""]",[]
136360e,"[""n"", ""e"", ""c""]",[]
113193n,"[""n"", ""e"", ""c""]","[""entailment""]"
120955n,"[""n"", ""e"", ""c""]","[""contradiction""]"
88188e,"[""n"", ""e"", ""c""]",[]
138966n,"[""n"", ""e"", ""c""]","[""contradiction""]"
48222n,"[""n"", ""e"", ""c""]",[]
18428n,"[""n"", ""e"", ""c""]",[]
116059n,"[""n"", ""e"", ""c""]",[]
67610c,"[""n"", ""e"", ""c""]",[]
95186n,"[""n"", ""e"", ""c""]",[]
77875e,"[""n"", ""e"", ""c""]",[]
65879c,"[""n"", ""e"", ""c""]",[]
86331e,"[""n"", ""e"", ""c""]",[]
65130n,"[""n"", ""e"", ""c""]","[""contradiction""]"
19578n,"[""n"", ""e"", ""c""]",[]
83657c,"[""n"", ""e"", ""c""]",[]
102817c,"[""n"", ""e"", ""c""]","[""contradiction""]"
124590c,"[""n"", ""e"", ""c""]",[]
96583n,"[""n"", ""e"", ""c""]",[]
132525n,"[""n"", ""e"", ""c""]",[]
11362e,"[""n"", ""e"", ""c""]",[]
107468n,"[""n"", ""e"", ""c""]","[""entailment""]"
145047e,"[""n"", ""e"", ""c""]",[]
55888c,"[""n"", ""e"", ""c""]",[]
138285n,"[""n"", ""e"", ""c""]",[]
57454c,"[""n"", ""e"", ""c""]",[]
88605n,"[""n"", ""e"", ""c""]",[]
72721e,"[""n"", ""e"", ""c""]",[]
49611e,"[""n"", ""e"", ""c""]",[]
16989c,"[""n"", ""e"", ""c""]","[""contradiction""]"
112349c,"[""n"", ""e"", ""c""]","[""neutral""]"
119768n,"[""n"", ""e"", ""c""]","[""entailment""]"
111680e,"[""n"", ""e"", ""c""]",[]
43440n,"[""n"", ""e"", ""c""]",[]
91709c,"[""n"", ""e"", ""c""]",[]
47798n,"[""n"", ""e"", ""c""]",[]
103364n,"[""n"", ""e"", ""c""]",[]
49462c,"[""n"", ""e"", ""c""]","[""contradiction""]"
97011c,"[""n"", ""e"", ""c""]",[]
56743e,"[""n"", ""e"", ""c""]",[]
48300c,"[""n"", ""e"", ""c""]",[]
105769c,"[""n"", ""e"", ""c""]",[]
53866e,"[""n"", ""e"", ""c""]","[""entailment""]"
136752e,"[""n"", ""e"", ""c""]",[]
14388e,"[""n"", ""e"", ""c""]","[""entailment""]"
103559e,"[""n"", ""e"", ""c""]",[]
132019n,"[""n"", ""e"", ""c""]",[]
118999n,"[""n"", ""e"", ""c""]","[""entailment""]"
47404e,"[""n"", ""e"", ""c""]","[""entailment""]"
30171n,"[""n"", ""e"", ""c""]",[]
134514c,"[""n"", ""e"", ""c""]",[]
52542n,"[""n"", ""e"", ""c""]","[""contradiction""]"
47408n,"[""n"", ""e"", ""c""]","[""neutral""]"
135021n,"[""n"", ""e"", ""c""]","[""entailment""]"
88605e,"[""n"", ""e"", ""c""]",[]
98710n,"[""n"", ""e"", ""c""]",[]
30894c,"[""n"", ""e"", ""c""]",[]
81356e,"[""n"", ""e"", ""c""]",[]
132516n,"[""n"", ""e"", ""c""]","[""entailment""]"
34176n,"[""n"", ""e"", ""c""]",[]
77116e,"[""n"", ""e"", ""c""]",[]
76947n,"[""n"", ""e"", ""c""]",[]
139635n,"[""n"", ""e"", ""c""]",[]
101245n,"[""n"", ""e"", ""c""]",[]
8545c,"[""n"", ""e"", ""c""]","[""neutral""]"
8219n,"[""n"", ""e"", ""c""]","[""entailment""]"
115247c,"[""n"", ""e"", ""c""]",[]
99708e,"[""n"", ""e"", ""c""]",[]
82415n,"[""n"", ""e"", ""c""]","[""contradiction""]"
82700c,"[""n"", ""e"", ""c""]",[]
1073c,"[""n"", ""e"", ""c""]",[]
120149c,"[""n"", ""e"", ""c""]",[]
124037n,"[""n"", ""e"", ""c""]","[""entailment""]"
92062c,"[""n"", ""e"", ""c""]",[]
131235c,"[""n"", ""e"", ""c""]",[]
46820e,"[""n"", ""e"", ""c""]","[""contradiction""]"
77590c,"[""n"", ""e"", ""c""]",[]
128542e,"[""n"", ""e"", ""c""]","[""entailment""]"
74768e,"[""n"", ""e"", ""c""]",[]
122928e,"[""n"", ""e"", ""c""]","[""entailment""]"
139409e,"[""n"", ""e"", ""c""]",[]
59208n,"[""n"", ""e"", ""c""]",[]
133597n,"[""n"", ""e"", ""c""]",[]
80517e,"[""n"", ""e"", ""c""]",[]
93236c,"[""n"", ""e"", ""c""]",[]
142643c,"[""n"", ""e"", ""c""]",[]
31113e,"[""n"", ""e"", ""c""]",[]
34776c,"[""n"", ""e"", ""c""]","[""contradiction""]"
121422c,"[""n"", ""e"", ""c""]",[]
104805e,"[""n"", ""e"", ""c""]",[]
115821n,"[""n"", ""e"", ""c""]",[]
80630e,"[""n"", ""e"", ""c""]","[""contradiction""]"
138862c,"[""n"", ""e"", ""c""]",[]
105179c,"[""n"", ""e"", ""c""]",[]
109876n,"[""n"", ""e"", ""c""]",[]
65353n,"[""n"", ""e"", ""c""]",[]
16494c,"[""n"", ""e"", ""c""]",[]
60732n,"[""n"", ""e"", ""c""]",[]
88646c,"[""n"", ""e"", ""c""]",[]
53074n,"[""n"", ""e"", ""c""]",[]
61818n,"[""n"", ""e"", ""c""]",[]
46003n,"[""n"", ""e"", ""c""]",[]
6386n,"[""n"", ""e"", ""c""]",[]
98739n,"[""n"", ""e"", ""c""]",[]
108624c,"[""n"", ""e"", ""c""]",[]
106013c,"[""n"", ""e"", ""c""]","[""entailment""]"
37407n,"[""n"", ""e"", ""c""]",[]
70590c,"[""n"", ""e"", ""c""]",[]
23901e,"[""n"", ""e"", ""c""]",[]
23280n,"[""n"", ""e"", ""c""]",[]
135247c,"[""n"", ""e"", ""c""]",[]
58357c,"[""n"", ""e"", ""c""]",[]
19803e,"[""n"", ""e"", ""c""]",[]
144753n,"[""n"", ""e"", ""c""]",[]
15100e,"[""n"", ""e"", ""c""]",[]
28507n,"[""n"", ""e"", ""c""]",[]
123748n,"[""n"", ""e"", ""c""]",[]
111338c,"[""n"", ""e"", ""c""]",[]
52171c,"[""n"", ""e"", ""c""]",[]
90548e,"[""n"", ""e"", ""c""]",[]
81842c,"[""n"", ""e"", ""c""]",[]
91601n,"[""n"", ""e"", ""c""]",[]
118415n,"[""n"", ""e"", ""c""]",[]
113644n,"[""n"", ""e"", ""c""]",[]
47260n,"[""n"", ""e"", ""c""]",[]
129081e,"[""n"", ""e"", ""c""]",[]
18189e,"[""n"", ""e"", ""c""]",[]
91797c,"[""n"", ""e"", ""c""]",[]
917c,"[""n"", ""e"", ""c""]",[]
89995c,"[""n"", ""e"", ""c""]","[""entailment""]"
33822e,"[""n"", ""e"", ""c""]",[]
42983e,"[""n"", ""e"", ""c""]",[]
6105e,"[""n"", ""e"", ""c""]",[]
26143n,"[""n"", ""e"", ""c""]",[]
100768n,"[""n"", ""e"", ""c""]",[]
82510e,"[""n"", ""e"", ""c""]",[]
102563n,"[""n"", ""e"", ""c""]",[]
48553c,"[""n"", ""e"", ""c""]",[]
54458n,"[""n"", ""e"", ""c""]",[]
17576n,"[""n"", ""e"", ""c""]","[""contradiction"", ""entailment""]"
103431n,"[""n"", ""e"", ""c""]",[]
64123c,"[""n"", ""e"", ""c""]","[""contradiction""]"
56163c,"[""n"", ""e"", ""c""]",[]
11297c,"[""n"", ""e"", ""c""]","[""neutral""]"
32889n,"[""n"", ""e"", ""c""]",[]
19c,"[""n"", ""e"", ""c""]",[]
32754e,"[""n"", ""e"", ""c""]",[]
12815n,"[""n"", ""e"", ""c""]",[]
135898c,"[""n"", ""e"", ""c""]","[""contradiction""]"
82830n,"[""n"", ""e"", ""c""]",[]
74509n,"[""n"", ""c""]",[]
98944c,"[""n"", ""e"", ""c""]",[]
19208c,"[""n"", ""e"", ""c""]",[]
117576e,"[""n"", ""e"", ""c""]",[]
50484c,"[""n"", ""e"", ""c""]",[]
98445c,"[""n"", ""e"", ""c""]","[""contradiction""]"
7856c,"[""n"", ""e"", ""c""]",[]
8257n,"[""n"", ""e"", ""c""]",[]
141110n,"[""n"", ""e"", ""c""]","[""entailment""]"
84055n,"[""n"", ""e"", ""c""]","[""contradiction"", ""entailment""]"
143789n,"[""n"", ""e"", ""c""]",[]
13911n,"[""n"", ""e"", ""c""]","[""contradiction""]"
122062n,"[""n"", ""e"", ""c""]",[]
49396e,"[""n"", ""e"", ""c""]",[]
73444n,"[""n"", ""e"", ""c""]",[]
79106e,"[""n"", ""e"", ""c""]",[]
82230e,"[""n"", ""e"", ""c""]",[]
14280n,"[""n"", ""e"", ""c""]",[]
19668c,"[""n"", ""e"", ""c""]","[""neutral""]"
12562n,"[""n"", ""e"", ""c""]","[""entailment""]"
111693e,"[""n"", ""e"", ""c""]","[""entailment""]"
124839c,"[""n"", ""e"", ""c""]",[]
72870n,"[""n"", ""e"", ""c""]",[]
129601n,"[""n"", ""e"", ""c""]",[]
26372n,"[""n"", ""c""]","[""entailment""]"
74534n,"[""n"", ""e"", ""c""]",[]
63469c,"[""n"", ""e"", ""c""]",[]
141321n,"[""n"", ""e"", ""c""]",[]
68946c,"[""n"", ""e"", ""c""]",[]
41975c,"[""n"", ""e"", ""c""]",[]
100349e,"[""n"", ""e"", ""c""]",[]
107399c,"[""n"", ""e"", ""c""]",[]
131623c,"[""n"", ""e"", ""c""]","[""contradiction""]"
58954c,"[""n"", ""e"", ""c""]",[]
74377e,"[""n"", ""e"", ""c""]",[]
130680e,"[""n"", ""e"", ""c""]",[]
49227n,"[""n"", ""e"", ""c""]",[]
124853e,"[""n"", ""e"", ""c""]","[""contradiction""]"
117892n,"[""n"", ""e"", ""c""]",[]
111243n,"[""n"", ""e"", ""c""]",[]
77654e,"[""n"", ""e"", ""c""]",[]
110061n,"[""n"", ""e"", ""c""]",[]
29844c,"[""n"", ""e"", ""c""]",[]
27335e,"[""n"", ""e"", ""c""]",[]
87332c,"[""n"", ""e"", ""c""]","[""entailment""]"
53499c,"[""n"", ""e"", ""c""]","[""entailment""]"
65199n,"[""n"", ""e"", ""c""]",[]
88050c,"[""n"", ""e"", ""c""]",[]
34094e,"[""n"", ""e"", ""c""]",[]
72875e,"[""n"", ""e"", ""c""]",[]
19921n,"[""n"", ""e"", ""c""]",[]
23583e,"[""n"", ""e"", ""c""]",[]
91106n,"[""n"", ""e"", ""c""]",[]
9557e,"[""n"", ""e"", ""c""]","[""entailment""]"
15537n,"[""n"", ""e"", ""c""]","[""entailment""]"
3476n,"[""n"", ""e"", ""c""]",[]
56124n,"[""n"", ""e"", ""c""]","[""entailment""]"
5193n,"[""n"", ""e"", ""c""]",[]
106390n,"[""n"", ""e"", ""c""]",[]
54327n,"[""n"", ""e"", ""c""]",[]
2870n,"[""n"", ""e"", ""c""]",[]
63218n,"[""n"", ""e"", ""c""]",[]
144753c,"[""n"", ""e"", ""c""]",[]
73191n,"[""n"", ""e"", ""c""]","[""contradiction""]"
62273n,"[""n"", ""e"", ""c""]",[]
58016c,"[""n"", ""e"", ""c""]",[]
45605n,"[""n"", ""e"", ""c""]",[]
82174e,"[""n"", ""e"", ""c""]",[]
123703e,"[""n"", ""e"", ""c""]",[]
127410n,"[""n"", ""e"", ""c""]",[]
55572n,"[""n"", ""e"", ""c""]",[]
45774c,"[""n"", ""e"", ""c""]","[""contradiction""]"
130869n,"[""n"", ""e"", ""c""]",[]
93955n,"[""n"", ""e"", ""c""]","[""entailment""]"
72870c,"[""n"", ""e"", ""c""]","[""contradiction"", ""entailment""]"
77025c,"[""n"", ""e"", ""c""]",[]
69975n,"[""n"", ""e"", ""c""]",[]
125238c,"[""n"", ""e"", ""c""]",[]
27022c,"[""n"", ""e"", ""c""]",[]
66689c,"[""n"", ""e"", ""c""]","[""neutral""]"
112547n,"[""n"", ""e"", ""c""]","[""entailment""]"
129081n,"[""n"", ""e"", ""c""]",[]
45306n,"[""n"", ""e"", ""c""]",[]
76957c,"[""n"", ""e"", ""c""]",[]
2262n,"[""n"", ""e"", ""c""]","[""entailment""]"
40710n,"[""n"", ""e"", ""c""]",[]
21957n,"[""n"", ""e"", ""c""]",[]
14126e,"[""n"", ""e"", ""c""]",[]
79013n,"[""n"", ""e"", ""c""]","[""entailment"", ""neutral""]"
38156n,"[""n"", ""e"", ""c""]",[]
25304n,"[""n"", ""e"", ""c""]","[""neutral""]"
111338e,"[""n"", ""e"", ""c""]",[]
75259c,"[""n"", ""e"", ""c""]","[""contradiction""]"
53211n,"[""n"", ""e"", ""c""]","[""entailment""]"
123267e,"[""n"", ""e"", ""c""]",[]
80808n,"[""n"", ""e"", ""c""]","[""neutral""]"
72740c,"[""n"", ""e"", ""c""]",[]
71251n,"[""n"", ""e"", ""c""]",[]
117680c,"[""n"", ""e"", ""c""]",[]
80930n,"[""n"", ""e"", ""c""]",[]
98844n,"[""n"", ""e"", ""c""]",[]
127073c,"[""n"", ""e"", ""c""]","[""contradiction""]"
61216c,"[""n"", ""e"", ""c""]",[]
102857n,"[""n"", ""e"", ""c""]","[""contradiction""]"
133243e,"[""n"", ""e"", ""c""]",[]
144408n,"[""n"", ""e"", ""c""]",[]
104412e,"[""n"", ""e"", ""c""]","[""contradiction""]"
129601e,"[""n"", ""e"", ""c""]",[]
62238e,"[""n"", ""e"", ""c""]","[""entailment""]"
51353e,"[""n"", ""e"", ""c""]",[]
108027n,"[""n"", ""e"", ""c""]",[]
95883e,"[""n"", ""e"", ""c""]",[]
26495e,"[""n"", ""e"", ""c""]",[]
67836n,"[""n"", ""e"", ""c""]",[]
21340n,"[""n"", ""e"", ""c""]","[""contradiction""]"
114971e,"[""n"", ""e"", ""c""]",[]
103354n,"[""n"", ""c""]","[""contradiction""]"
11971n,"[""n"", ""e"", ""c""]",[]
83722e,"[""n"", ""e"", ""c""]",[]
38527n,"[""n"", ""e"", ""c""]",[]
59934n,"[""n"", ""e"", ""c""]","[""entailment""]"
10916n,"[""n"", ""e"", ""c""]",[]
34043c,"[""n"", ""e"", ""c""]","[""contradiction""]"
117089n,"[""n"", ""e"", ""c""]",[]
121910c,"[""n"", ""e"", ""c""]",[]
113668n,"[""n"", ""e"", ""c""]","[""contradiction"", ""entailment""]"
128176e,"[""n"", ""e"", ""c""]","[""entailment""]"
122322e,"[""n"", ""e"", ""c""]",[]
53619c,"[""n"", ""e"", ""c""]","[""entailment""]"
27287c,"[""n"", ""e"", ""c""]",[]
125700e,"[""n"", ""e"", ""c""]",[]
96946n,"[""n"", ""e"", ""c""]",[]
17660e,"[""n"", ""e"", ""c""]",[]
107252c,"[""n"", ""e"", ""c""]",[]
113967e,"[""n"", ""e"", ""c""]",[]
129464c,"[""n"", ""e"", ""c""]",[]
82528c,"[""n"", ""e"", ""c""]","[""entailment""]"
134356n,"[""n"", ""e"", ""c""]",[]
102075c,"[""n"", ""e"", ""c""]",[]
96956c,"[""n"", ""e"", ""c""]",[]
24163e,"[""n"", ""e"", ""c""]",[]
31775c,"[""n"", ""e"", ""c""]",[]
8487n,"[""n"", ""e"", ""c""]","[""neutral""]"
46576e,"[""n"", ""e"", ""c""]",[]
83247e,"[""n"", ""e"", ""c""]",[]
80109n,"[""n"", ""e"", ""c""]","[""neutral""]"
52854n,"[""n"", ""e"", ""c""]",[]
133274n,"[""n"", ""e"", ""c""]",[]
120070n,"[""n"", ""e"", ""c""]",[]
129185n,"[""n"", ""e"", ""c""]",[]
49172n,"[""n"", ""e"", ""c""]",[]
140782c,"[""n"", ""e"", ""c""]",[]
45443c,"[""n"", ""e"", ""c""]",[]
22938e,"[""n"", ""e"", ""c""]",[]
67571c,"[""n"", ""e"", ""c""]",[]
5087e,"[""n"", ""e"", ""c""]",[]
23769n,"[""n"", ""e"", ""c""]",[]
13760n,"[""n"", ""e"", ""c""]",[]
2133n,"[""n"", ""e"", ""c""]",[]
117093n,"[""n"", ""e"", ""c""]",[]
112402c,"[""n"", ""e"", ""c""]",[]
32754n,"[""n"", ""e"", ""c""]","[""contradiction""]"
120896n,"[""n"", ""e"", ""c""]","[""neutral""]"
25437n,"[""n"", ""e"", ""c""]",[]
56895c,"[""n"", ""e"", ""c""]",[]
43094c,"[""n"", ""e"", ""c""]",[]
21834e,"[""n"", ""e"", ""c""]","[""neutral""]"
139836n,"[""n"", ""e"", ""c""]","[""neutral""]"
57454e,"[""n"", ""e"", ""c""]",[]
34573n,"[""n"", ""e"", ""c""]","[""contradiction""]"
52278e,"[""n"", ""e"", ""c""]",[]
11618c,"[""n"", ""e"", ""c""]",[]
118460n,"[""n"", ""e"", ""c""]","[""contradiction"", ""entailment""]"
54383c,"[""n"", ""e"", ""c""]",[]
123751n,"[""n"", ""e"", ""c""]",[]
43891n,"[""n"", ""e"", ""c""]",[]
113039e,"[""n"", ""e"", ""c""]",[]
83900e,"[""n"", ""e"", ""c""]",[]
10119e,"[""n"", ""e"", ""c""]","[""entailment""]"
21810n,"[""n"", ""e"", ""c""]",[]
35700c,"[""n"", ""e"", ""c""]",[]
109278n,"[""n"", ""e"", ""c""]","[""neutral""]"
138530e,"[""n"", ""e"", ""c""]","[""contradiction""]"
13387e,"[""n"", ""e"", ""c""]",[]
58557e,"[""n"", ""e"", ""c""]",[]
36811c,"[""n"", ""e"", ""c""]",[]
73840n,"[""n"", ""e"", ""c""]",[]
31249e,"[""n"", ""e"", ""c""]",[]
91913n,"[""n"", ""e"", ""c""]","[""contradiction""]"
100895c,"[""n"", ""e"", ""c""]",[]
837n,"[""n"", ""e"", ""c""]",[]
140005c,"[""n"", ""e"", ""c""]",[]
38475c,"[""n"", ""e"", ""c""]",[]
141293e,"[""n"", ""e"", ""c""]",[]
30139n,"[""n"", ""e"", ""c""]",[]
30380c,"[""n"", ""e"", ""c""]","[""entailment""]"
22436n,"[""n"", ""e"", ""c""]",[]
76037n,"[""n"", ""e"", ""c""]","[""contradiction""]"
28456n,"[""n"", ""e"", ""c""]",[]
46198c,"[""n"", ""e"", ""c""]",[]
100136e,"[""n"", ""e"", ""c""]",[]
24103n,"[""n"", ""e"", ""c""]",[]
142729c,"[""n"", ""e"", ""c""]",[]
96516e,"[""n"", ""e"", ""c""]",[]
52761e,"[""n"", ""e"", ""c""]",[]
21297n,"[""n"", ""e"", ""c""]",[]
98487c,"[""n"", ""e"", ""c""]",[]
17179n,"[""n"", ""e"", ""c""]",[]
132539e,"[""n"", ""e"", ""c""]",[]
23642n,"[""n"", ""e"", ""c""]",[]
84781e,"[""n"", ""e"", ""c""]",[]
15771c,"[""n"", ""e"", ""c""]",[]
134655c,"[""n"", ""e"", ""c""]",[]
33822n,"[""n"", ""e"", ""c""]",[]
125021c,"[""n"", ""e"", ""c""]",[]
133005n,"[""n"", ""e"", ""c""]",[]
65650e,"[""n"", ""e"", ""c""]",[]
3545n,"[""n"", ""e"", ""c""]",[]
105196n,"[""n"", ""e"", ""c""]",[]
144753e,"[""n"", ""e"", ""c""]",[]
114458e,"[""n"", ""e"", ""c""]","[""neutral""]"
49237c,"[""n"", ""e"", ""c""]",[]
70047c,"[""n"", ""e"", ""c""]",[]
137319n,"[""n"", ""e"", ""c""]",[]
63013n,"[""n"", ""e"", ""c""]",[]
79507e,"[""n"", ""e"", ""c""]",[]
121910e,"[""n"", ""e"", ""c""]","[""contradiction""]"
120323n,"[""n"", ""e"", ""c""]",[]
50480n,"[""n"", ""e"", ""c""]","[""entailment""]"
123027n,"[""n"", ""e"", ""c""]",[]
85279n,"[""n"", ""e"", ""c""]",[]
121360c,"[""n"", ""e"", ""c""]","[""contradiction""]"
56582n,"[""n"", ""e"", ""c""]",[]
46650n,"[""n"", ""e"", ""c""]",[]
81579e,"[""n"", ""e"", ""c""]","[""contradiction""]"
23414c,"[""n"", ""e"", ""c""]",[]
36715e,"[""n"", ""e"", ""c""]",[]
114492n,"[""n"", ""e"", ""c""]",[]
136097n,"[""n"", ""e"", ""c""]",[]
101253c,"[""n"", ""e"", ""c""]",[]
97520e,"[""n"", ""e"", ""c""]",[]
97569e,"[""n"", ""e"", ""c""]",[]
23751c,"[""n"", ""e"", ""c""]",[]
103169n,"[""n"", ""e"", ""c""]","[""contradiction"", ""neutral""]"
134217e,"[""n"", ""e"", ""c""]","[""entailment"", ""neutral""]"
11601n,"[""n"", ""e"", ""c""]",[]
46059c,"[""n"", ""e"", ""c""]","[""entailment""]"
82156e,"[""n"", ""e"", ""c""]",[]
30894n,"[""n"", ""e"", ""c""]",[]
122645n,"[""n"", ""e"", ""c""]","[""contradiction""]"
26142n,"[""n"", ""e"", ""c""]",[]
66225n,"[""n"", ""e"", ""c""]",[]
134103n,"[""n"", ""e"", ""c""]",[]
117177n,"[""n"", ""e"", ""c""]",[]
78105e,"[""n"", ""e"", ""c""]",[]
23280e,"[""n"", ""e"", ""c""]",[]
9393n,"[""n"", ""e"", ""c""]","[""contradiction""]"
82510c,"[""n"", ""e"", ""c""]","[""neutral""]"
14459n,"[""n"", ""e"", ""c""]",[]
70711c,"[""n"", ""e"", ""c""]",[]
77893n,"[""n"", ""e"", ""c""]","[""contradiction""]"
20181n,"[""n"", ""e"", ""c""]",[]
137715n,"[""n"", ""e"", ""c""]",[]
109679n,"[""n"", ""e"", ""c""]","[""neutral""]"
123891c,"[""n"", ""e"", ""c""]",[]
16086n,"[""n"", ""e"", ""c""]",[]
91650n,"[""n"", ""e"", ""c""]",[]
85428e,"[""n"", ""e"", ""c""]",[]
118403n,"[""n"", ""e"", ""c""]",[]
105561e,"[""n"", ""e"", ""c""]","[""entailment""]"
11303n,"[""n"", ""e"", ""c""]",[]
11534n,"[""n"", ""e"", ""c""]",[]
46198n,"[""n"", ""e"", ""c""]",[]
125013e,"[""n"", ""e"", ""c""]",[]
44747n,"[""n"", ""e"", ""c""]",[]
19768c,"[""n"", ""e"", ""c""]",[]
53468n,"[""n"", ""e"", ""c""]","[""contradiction""]"
136752n,"[""n"", ""e"", ""c""]","[""entailment""]"
10724n,"[""n"", ""e"", ""c""]",[]
17753n,"[""n"", ""e"", ""c""]",[]
130928n,"[""n"", ""e"", ""c""]",[]
66858n,"[""n"", ""e"", ""c""]",[]
28601n,"[""n"", ""e"", ""c""]",[]
92774n,"[""n"", ""e"", ""c""]",[]
142604e,"[""n"", ""e"", ""c""]","[""contradiction""]"
42860n,"[""n"", ""e"", ""c""]",[]
77299n,"[""n"", ""e"", ""c""]",[]
13765c,"[""n"", ""e"", ""c""]","[""contradiction"", ""entailment""]"
139362e,"[""n"", ""e"", ""c""]","[""entailment""]"
116176c,"[""n"", ""e"", ""c""]","[""contradiction""]"
110234e,"[""n"", ""e"", ""c""]","[""contradiction""]"
84781c,"[""n"", ""e"", ""c""]","[""contradiction""]"
41052n,"[""n"", ""e"", ""c""]",[]
128160n,"[""n"", ""e"", ""c""]",[]
123038e,"[""n"", ""e"", ""c""]",[]
98621n,"[""n"", ""e"", ""c""]",[]
97926c,"[""n"", ""e"", ""c""]",[]
98561e,"[""n"", ""e"", ""c""]",[]
86429n,"[""n"", ""e"", ""c""]",[]
105911c,"[""n"", ""e"", ""c""]",[]
126486n,"[""n"", ""e"", ""c""]",[]
127809n,"[""n"", ""e"", ""c""]",[]
28306c,"[""n"", ""e"", ""c""]","[""entailment""]"
